date,NHiTS_Forecast
2023-01-01,8.38701
2023-01-02,8.393784
2023-01-03,8.381952
2023-01-04,8.387685
2023-01-05,8.398982
2023-01-06,8.384552
2023-01-07,8.388654
2023-01-08,8.399855
2023-01-09,8.394566
2023-01-10,8.381242
2023-01-11,8.394188
2023-01-12,8.388918
2023-01-13,8.393577
2023-01-14,8.396002
2023-01-15,8.396456
2023-01-16,8.400408
2023-01-17,8.390423
2023-01-18,8.40801
2023-01-19,8.401173
2023-01-20,8.411721
2023-01-21,8.407197
2023-01-22,8.413639
2023-01-23,8.4102955
2023-01-24,8.411238
2023-01-25,8.425807
2023-01-26,8.420879
2023-01-27,8.413222
2023-01-28,8.423347
2023-01-29,8.426207
2023-01-30,8.433997
2023-01-31,8.440006
2023-02-01,8.445357
2023-02-02,8.440057
2023-02-03,8.458902
2023-02-04,8.445935
2023-02-05,8.463024
2023-02-06,8.458461
2023-02-07,8.471943
2023-02-08,8.465117
2023-02-09,8.477329
2023-02-10,8.472253
2023-02-11,8.474736
2023-02-12,8.477434
2023-02-13,8.493424
2023-02-14,8.492098
2023-02-15,8.498397
2023-02-16,8.497195
2023-02-17,8.512897
2023-02-18,8.507062
2023-02-19,8.502061
2023-02-20,8.514875
2023-02-21,8.523686
2023-02-22,8.51611
2023-02-23,8.523815
2023-02-24,8.519092
2023-02-25,8.522432
2023-02-26,8.530253
2023-02-27,8.540524
2023-02-28,8.534816
2023-03-01,8.556027
2023-03-02,8.542981
2023-03-03,8.55071
2023-03-04,8.553032
2023-03-05,8.554382
2023-03-06,8.56925
2023-03-07,8.565145
2023-03-08,8.577016
2023-03-09,8.578173
2023-03-10,8.584442
2023-03-11,8.596292
2023-03-12,8.600076
2023-03-13,8.610756
2023-03-14,8.61108
2023-03-15,8.626804
2023-03-16,8.621404
2023-03-17,8.622867
2023-03-18,8.629662
2023-03-19,8.629649
2023-03-20,8.628357
2023-03-21,8.6397705
2023-03-22,8.64612
2023-03-23,8.652966
2023-03-24,8.642986
2023-03-25,8.660822
2023-03-26,8.669067
2023-03-27,8.666109
2023-03-28,8.666421
2023-03-29,8.668089
2023-03-30,8.6865225
2023-03-31,8.680558
2023-04-01,8.685947
2023-04-02,8.6917715
2023-04-03,8.6968975
2023-04-04,8.706996
2023-04-05,8.708467
2023-04-06,8.709362
2023-04-07,8.716886
2023-04-08,8.713228
2023-04-09,8.726868
2023-04-10,8.730004
2023-04-11,8.726385
2023-04-12,8.723599
2023-04-13,8.724528
2023-04-14,8.7290325
2023-04-15,8.730207
2023-04-16,8.720499
2023-04-17,8.727007
2023-04-18,8.733261
2023-04-19,8.733412
2023-04-20,8.7448
2023-04-21,8.740981
2023-04-22,8.746981
2023-04-23,8.752828
2023-04-24,8.758907
2023-04-25,8.76636
2023-04-26,8.75445
2023-04-27,8.763897
2023-04-28,8.760911
2023-04-29,8.763661
2023-04-30,8.7671385
2023-05-01,8.778196
2023-05-02,8.787582
2023-05-03,8.782692
2023-05-04,8.776808
2023-05-05,8.789092
2023-05-06,8.783933
2023-05-07,8.796037
2023-05-08,8.797287
2023-05-09,8.806021
2023-05-10,8.809207
2023-05-11,8.814034
2023-05-12,8.814324
2023-05-13,8.813568
2023-05-14,8.825336
2023-05-15,8.826923
2023-05-16,8.832857
2023-05-17,8.82499
2023-05-18,8.828489
2023-05-19,8.828199
2023-05-20,8.840485
2023-05-21,8.836854
2023-05-22,8.845793
2023-05-23,8.835271
2023-05-24,8.839197
2023-05-25,8.839271
2023-05-26,8.850857
2023-05-27,8.855271
2023-05-28,8.847741
2023-05-29,8.843604
2023-05-30,8.850171
2023-05-31,8.848723
2023-06-01,8.854729
2023-06-02,8.851099
2023-06-03,8.858657
2023-06-04,8.8481245
2023-06-05,8.857709
2023-06-06,8.856266
2023-06-07,8.85022
2023-06-08,8.847103
2023-06-09,8.8648615
2023-06-10,8.852521
2023-06-11,8.865045
2023-06-12,8.863019
2023-06-13,8.866385
2023-06-14,8.861714
2023-06-15,8.866618
2023-06-16,8.857864
2023-06-17,8.867084
2023-06-18,8.873147
2023-06-19,8.8692465
2023-06-20,8.874995
2023-06-21,8.874471
2023-06-22,8.871195
2023-06-23,8.873793
2023-06-24,8.864421
2023-06-25,8.881745
2023-06-26,8.875361
2023-06-27,8.876366
2023-06-28,8.873079
2023-06-29,8.880226
2023-06-30,8.890366
2023-07-01,8.879778
2023-07-02,8.873259
2023-07-03,8.871721
2023-07-04,8.87656
2023-07-05,8.8815775
2023-07-06,8.8812275
2023-07-07,8.874052
2023-07-08,8.872011
2023-07-09,8.870575
2023-07-10,8.87967
2023-07-11,8.878001
2023-07-12,8.874617
2023-07-13,8.873158
2023-07-14,8.87938
2023-07-15,8.8776045
2023-07-16,8.878473
2023-07-17,8.87684
2023-07-18,8.873333
2023-07-19,8.878166
2023-07-20,8.875037
2023-07-21,8.876469
2023-07-22,8.882281
2023-07-23,8.873626
2023-07-24,8.866297
2023-07-25,8.871145
2023-07-26,8.859954
2023-07-27,8.862895
2023-07-28,8.8659525
2023-07-29,8.859988
2023-07-30,8.8558855
2023-07-31,8.86146
2023-08-01,8.863757
2023-08-02,8.850902
2023-08-03,8.846933
2023-08-04,8.846111
2023-08-05,8.841224
2023-08-06,8.8459015
2023-08-07,8.847971
2023-08-08,8.854542
2023-08-09,8.842292
2023-08-10,8.842527
2023-08-11,8.839548
2023-08-12,8.8404875
2023-08-13,8.845218
2023-08-14,8.8501215
2023-08-15,8.839003
2023-08-16,8.837406
2023-08-17,8.835481
2023-08-18,8.839737
2023-08-19,8.828481
2023-08-20,8.834692
2023-08-21,8.826281
2023-08-22,8.827127
2023-08-23,8.818571
2023-08-24,8.829521
2023-08-25,8.824058
2023-08-26,8.818398
2023-08-27,8.829064
2023-08-28,8.824443
2023-08-29,8.815337
2023-08-30,8.817783
2023-08-31,8.815562
2023-09-01,8.808472
2023-09-02,8.80544
2023-09-03,8.807893
2023-09-04,8.812451
2023-09-05,8.806093
2023-09-06,8.801848
2023-09-07,8.800893
2023-09-08,8.799513
2023-09-09,8.791568
2023-09-10,8.794538
2023-09-11,8.789919
2023-09-12,8.792038
2023-09-13,8.787057
2023-09-14,8.780591
2023-09-15,8.777742
2023-09-16,8.78202
2023-09-17,8.771056
2023-09-18,8.772768
2023-09-19,8.758699
2023-09-20,8.762263
2023-09-21,8.75858
2023-09-22,8.756933
2023-09-23,8.744781
2023-09-24,8.734491
2023-09-25,8.741737
2023-09-26,8.7351265
2023-09-27,8.744516
2023-09-28,8.732338
2023-09-29,8.717833
2023-09-30,8.719684
2023-10-01,8.719878
2023-10-02,8.728773
2023-10-03,8.71962
2023-10-04,8.71241
2023-10-05,8.70874
2023-10-06,8.696207
2023-10-07,8.701561
2023-10-08,8.691138
2023-10-09,8.695685
2023-10-10,8.678808
2023-10-11,8.682853
2023-10-12,8.671216
2023-10-13,8.660778
2023-10-14,8.653033
2023-10-15,8.646884
2023-10-16,8.637193
2023-10-17,8.6314745
2023-10-18,8.622037
2023-10-19,8.61442
2023-10-20,8.619164
2023-10-21,8.60761
2023-10-22,8.603623
2023-10-23,8.61029
2023-10-24,8.608772
2023-10-25,8.599731
2023-10-26,8.595275
2023-10-27,8.594884
2023-10-28,8.595129
2023-10-29,8.606118
2023-10-30,8.582166
2023-10-31,8.582858
2023-11-01,8.569491
2023-11-02,8.574302
2023-11-03,8.5718565
2023-11-04,8.563102
2023-11-05,8.556136
2023-11-06,8.55687
2023-11-07,8.54409
2023-11-08,8.547985
2023-11-09,8.529818
2023-11-10,8.525818
2023-11-11,8.534479
2023-11-12,8.516839
2023-11-13,8.502748
2023-11-14,8.509849
2023-11-15,8.500943
2023-11-16,8.487679
2023-11-17,8.49453
2023-11-18,8.500995
2023-11-19,8.48304
2023-11-20,8.4726715
2023-11-21,8.468351
2023-11-22,8.464337
2023-11-23,8.476062
2023-11-24,8.458485
2023-11-25,8.454947
2023-11-26,8.456423
2023-11-27,8.449107
2023-11-28,8.447869
2023-11-29,8.449674
2023-11-30,8.443641
2023-12-01,8.434597
2023-12-02,8.437462
2023-12-03,8.431552
2023-12-04,8.444083
2023-12-05,8.430422
2023-12-06,8.430737
2023-12-07,8.419188
2023-12-08,8.423574
2023-12-09,8.421378
2023-12-10,8.4115715
2023-12-11,8.407287
2023-12-12,8.413859
2023-12-13,8.406403
2023-12-14,8.40188
2023-12-15,8.40003
2023-12-16,8.384715
2023-12-17,8.400178
2023-12-18,8.3911085
2023-12-19,8.391488
2023-12-20,8.386043
2023-12-21,8.397344
2023-12-22,8.37767
2023-12-23,8.387981
2023-12-24,8.384227
2023-12-25,8.373255
2023-12-26,8.375628
2023-12-27,8.382194
2023-12-28,8.385312
2023-12-29,8.373117
2023-12-30,8.389499
2023-12-31,8.373167
