Date,Year,Month,Day,Average Temperature,Average Ozone,Average AOD,Average Dew Point,Average Relative Humidity,Average Pressure,Average Precipitable Water,Max Temperature,Min Temperature,Total GHI,Total DHI,Total DNI,Total Clearsky GHI,Total Clearsky DHI,Total Clearsky DNI,Daylight Weather
1-1-2000,2000,1,1,23.4,0.273,0.032,18.0,71.9,1028.7,2.9,24.3,22.5,4966,683,8406,4966,683,8406,Clear
1-2-2000,2000,1,2,24.0,0.269,0.033,19.6,76.5,1030.8,3.1,25.3,22.900000000000002,4945,699,8320,4945,699,8320,Clear
1-3-2000,2000,1,3,24.0,0.272,0.042,20.8,82.4,1031.7,3.5,25.400000000000002,23.200000000000003,4254,1063,6284,4879,784,7922,Clear
1-4-2000,2000,1,4,24.1,0.282,0.044,20.5,80.3,1031.4,3.1,25.1,23.200000000000003,4728,1042,6497,4925,791,7979,Clear
1-5-2000,2000,1,5,24.1,0.286,0.046,19.7,76.9,1031.8,2.6,25.0,23.3,5012,754,8210,5012,754,8210,Clear
1-6-2000,2000,1,6,24.0,0.281,0.045,19.0,73.8,1032.5,2.2,24.900000000000002,23.400000000000002,5085,752,8344,5085,752,8344,Clear
1-7-2000,2000,1,7,23.9,0.27,0.06,18.3,71.2,1032.3,2.1,24.900000000000002,23.0,4938,858,7464,5082,822,8135,Clear
1-8-2000,2000,1,8,24.0,0.267,0.061,18.7,72.3,1031.5,2.4,25.0,23.200000000000003,4877,853,7340,5056,815,8015,Clear
1-9-2000,2000,1,9,23.8,0.269,0.056,18.4,71.7,1030.4,2.2,24.700000000000003,23.0,4055,2134,4108,5129,755,8317,Clear
1-10-2000,2000,1,10,23.9,0.267,0.071,19.3,75.7,1029.2,2.8,24.8,23.1,3349,1825,3529,4987,906,7635,Clear
1-11-2000,2000,1,11,24.0,0.268,0.059,19.5,75.9,1028.0,3.4,25.1,23.1,4812,1064,7086,4985,821,7784,Clear
1-12-2000,2000,1,12,23.9,0.276,0.052,19.2,75.1,1027.4,3.4,24.700000000000003,23.3,3707,1831,3668,5034,779,8019,Cloudy
1-13-2000,2000,1,13,23.4,0.279,0.047,19.0,76.2,1027.6,3.0,24.200000000000003,22.8,4235,1584,4875,5134,705,8337,Clear
1-14-2000,2000,1,14,23.3,0.285,0.053,18.8,76.2,1029.3,3.1,24.200000000000003,22.6,4515,1596,5328,5112,755,8209,Clear
1-15-2000,2000,1,15,22.7,0.292,0.077,18.2,76.1,1031.1,2.6,23.3,22.1,3172,2418,2268,5156,846,7950,Fog
1-16-2000,2000,1,16,22.6,0.304,0.069,16.8,70.3,1032.0,2.3,23.400000000000002,21.8,3954,2075,3126,5205,841,8080,Cloudy
1-17-2000,2000,1,17,22.5,0.306,0.06,16.6,69.2,1031.1,2.2,23.3,21.8,5016,789,7555,5278,799,8283,Clear
1-18-2000,2000,1,18,22.3,0.305,0.074,16.6,70.5,1029.2,2.8,23.0,21.700000000000003,4415,1163,5145,5209,812,8085,Clear
1-19-2000,2000,1,19,22.4,0.316,0.101,18.0,76.2,1027.7,3.3,22.900000000000002,21.700000000000003,2753,2152,918,5075,1024,7310,Cloudy
1-20-2000,2000,1,20,22.8,0.308,0.082,18.2,75.4,1027.8,3.6,23.400000000000002,22.200000000000003,3316,1952,2056,5116,928,7592,Cloudy
1-21-2000,2000,1,21,22.6,0.298,0.063,18.2,76.0,1028.7,3.2,23.400000000000002,21.900000000000002,3899,2075,3050,5204,869,7887,Cloudy
1-22-2000,2000,1,22,22.6,0.274,0.045,15.8,65.7,1029.1,1.8,23.700000000000003,21.6,5501,766,8708,5501,766,8708,Clear
1-23-2000,2000,1,23,22.3,0.267,0.043,15.1,63.7,1029.3,1.7,23.200000000000003,21.700000000000003,5562,762,8811,5562,762,8811,Clear
1-24-2000,2000,1,24,22.3,0.26,0.037,14.4,60.8,1030.4,1.8,23.200000000000003,21.5,4982,1652,6760,5583,722,8914,Clear
1-25-2000,2000,1,25,22.4,0.257,0.027,14.4,60.6,1031.2,1.9,23.5,21.5,5273,1028,8167,5590,689,9027,Clear
1-26-2000,2000,1,26,22.3,0.265,0.065,16.6,70.4,1033.3,2.4,23.0,21.700000000000003,2217,2051,297,5392,955,7996,Partly Cloudy
1-27-2000,2000,1,27,22.2,0.27,0.086,15.6,66.4,1035.7,1.6,23.1,21.3,4925,1332,6019,5601,967,8196,Clear
1-28-2000,2000,1,28,22.8,0.261,0.076,16.7,68.4,1034.3,1.9,23.700000000000003,21.900000000000002,5369,1156,7412,5567,936,8171,Clear
1-29-2000,2000,1,29,23.4,0.259,0.04,17.0,67.4,1032.7,1.9,24.6,22.400000000000002,5626,800,8370,5701,700,8992,Clear
1-30-2000,2000,1,30,23.7,0.256,0.04,17.1,67.0,1031.3,2.1,25.0,22.400000000000002,5715,692,8971,5715,692,8971,Clear
1-31-2000,2000,1,31,24.0,0.257,0.045,20.0,78.3,1032.0,2.8,25.5,22.5,5627,752,8672,5627,752,8672,Clear
2-1-2000,2000,2,1,24.0,0.26,0.043,19.1,74.6,1032.7,2.9,25.200000000000003,23.0,5648,783,8608,5648,783,8608,Clear
2-2-2000,2000,2,2,24.2,0.268,0.039,17.5,66.1,1030.6,2.7,25.400000000000002,23.1,5680,769,8694,5680,769,8694,Clear
2-3-2000,2000,2,3,24.0,0.274,0.042,18.7,72.3,1029.2,3.0,25.0,23.200000000000003,4849,1688,6354,5672,803,8589,Clear
2-4-2000,2000,2,4,23.6,0.265,0.062,18.6,73.6,1029.0,2.9,24.6,22.700000000000003,5682,908,8318,5682,908,8318,Clear
2-5-2000,2000,2,5,24.0,0.259,0.056,18.3,70.6,1028.4,2.7,25.3,22.900000000000002,5783,839,8567,5783,839,8567,Clear
2-6-2000,2000,2,6,24.1,0.256,0.065,18.0,68.8,1028.9,2.4,25.3,23.1,5863,849,8637,5863,849,8637,Clear
2-7-2000,2000,2,7,24.1,0.261,0.045,17.7,67.8,1031.3,2.3,25.200000000000003,22.6,5812,927,8376,5929,736,8999,Clear
2-8-2000,2000,2,8,24.5,0.274,0.056,19.3,73.1,1032.4,2.6,26.0,22.8,4169,1654,5076,5864,854,8604,Clear
